bug_description,dev_type
"In Notification Management, Unbalance_Account_N1 has incorrect formatting in EN and FR languages. Recipient and CC fields are wrong and Triggered should be immediate.",Frontend
"Pop up add billing not draggable, need to make it consistent with another pop up",Frontend
Add param lang in the query Send School Contract Amendment,Frontend
"On step 3 of the form, after adding the payer and clicking validate, there is a few seconds delay before the step message displays. Without a spinner, it appears as if nothing has happened. If the user clicks validate again, the finance generated multiple times and becomes messed up.",Frontend
School contract amendment not align properly in student card - tab student,Frontend
"Add ""Full rate: <Full rate amount based on internal/external>"" to ""Registration EFALIL 1 Communication"" for EDH finance member's easy reference when adding manual billing for transferred students.",Frontend
"I see the action button is not displayed for partially paid payment line, it should display ""note"" icon button  to student card",Frontend
New data shows double status displayed in Readmission > Follow Up table after changing student status from Registered to Postpone Registration. It should only display one status.,Frontend
"When adding avoir, OD, refund etc... -> The field ""Note"" shouldn't be mandatory",Frontend
"When i search student Julia, it show quick search list, i click connect as student but it shows swal : student not registered yet",Frontend
After filter in Notif. Ref column the result that I filter show different result in the breadcrumb. And there so many option have to check manually.,Frontend
When I try filter not paid and  not billed  the breadcrumb is displayed but the data not show,Frontend
"When I filter tag using Tag super filter, the breadcrumb is does not show after filtering the tag.",Frontend
"When I try filter the status column, the breadcrumb show the undefined, not what I choose in the column.",Frontend
"When filtering Status column, dropdown list name not displayed but checkbox selection shows breadcrumbs in Table Filter.",Frontend
as Operator Director when i use table filter at column status the breadcrumb cant display,Frontend
as Operator Director when i use filter table at column first value is corect but second value is invalid for filter,Frontend
as Operator Director the filter cannt work corectly and at column Program breadcrumb cant displayed   2,Frontend
"Improvement   When check on [FR] the text ""Please select a scholar season"" it's not align with the dropdown because the [FR] text is to long",Frontend
I see the filter for Group is not working,Frontend
"As Academic director, I can see the trombinoscope from other Program that not related with me",Frontend
"I see the student did not have School email but in Trombinoscope it display Personal Email instead of ""-""",Frontend
"Improvement:  If Student school email is empty then do not display button ""Send Email"" button",Frontend
"I see the tooltip for button ""send an email"" it's in correct, it should be ""Send email"" but on the env it only display ""Send""",Frontend
"When User type operator access the dashboard or student > Trombinoscope , the filter is not ""Pre select"" with ALL just like in Admission > General",Frontend
"When user type other than operator acces the dashboard or Student > Trombinoscope, the filter is not preselected with user program  Question 9",Frontend
"When user select category of user, the UI of selected user type is incorrect",Frontend
"In the PDF trombinoscope pop up, there are no option ""ALL"" for field Group",Frontend
Improvement :  Make all field in the PDF trombinoscope pop up to become mandatory field,Frontend
"User type other than operator, when check on the filter, the campus and level is not related to the user program",Frontend
The student card and trombinoscope isn't same after i updated data on student card,Frontend
I can't download PDF with sortings: By Alpha Order,Frontend
There is no photo profile display in the trombinoscope even though it display in the Student Card,Frontend
Improvement: Add check box for option in the Trombinoscope filter,Frontend
"the field under the filled field should give ""All <field>"" value as pre-selected",Frontend
There's message [Object object] instead of school name after i validated PDF form,Frontend
The field of PDF pop up have some field which the placeholder isn't able displayed as the dropdown data,Frontend
"I see the dropdown icon in the section ""define your selection"" is moving when user scroll the page",Frontend
"Improvement :  when user do the filter in the section ""Define your selection"" call query after user click outside or focus out on the dropdown selection",Frontend
"Error on the writing of"" valider"" instead ""validér"" ",Frontend
Button show up in student -> trombinoscope,Frontend
"In PDF popup, field Group, for option All classes is missing FR: [FR] Toutes les classes",Frontend
Numbers of student in trombinosope differs from number of student in student table,Frontend
"Filter in the ""Template type"" column is randomly sorted in EN and FR",Frontend
the date filter on the list of form templates table is not working properly,Frontend
"In summary step ->  step type is step with summary, user isn't be able see the preview of righ bottom screen like other step",Frontend
Thre's no space between button in step message and notification,Frontend
Admission tabs in school intake channel The level of school isn't sorted properly,Frontend
"When I turn on validator slider in the summary step then select validator it will display bravo, but validator field become red and empty,",Frontend
Sweet alert incorrect if the user send reminder to student,Frontend
The category user field cant choice more than one option,Frontend
Improvement Remove  sub module button and remove item button must have tooltip in both EN or FR,Frontend
Thre's swal error when user need upload a document PDF for contract signing PDF,Frontend
"When template name already exist, swal displaying is wrong",Frontend
Template type column dropdown template type in search bar double,Frontend
There is a null null display in the Step with Final Message preview in default,Frontend
"For some student that receive the OneTimeForm_N1 and click the  for form filling, they cannot see accept button to continue to next step",Frontend
"i see 2 issue in :  1. student menu -> irregular position when table i scroll to right 2, form builder -> localization tooltip [FR] duplicate template",Frontend
"As operator Admin, i already create form follow up with category of user operator admin. but i dont see the tutorial button on form follow up",Frontend
"In the add inapp tutorial, on the module field there is no form follow up submenu to pick",Frontend
"when student complete all step, i see button send reminder in action column",Frontend
in the student table there are student have entity ' candidate ' So the user after send the one time form cannot complete the form,Frontend
"InApp tutorial for form follow up submenu general is not there, but i can see the InApp tutorial is in admission >> general",Frontend
One time form filling with document expected have red text after submit and validated,Frontend
Send reminder button should be owned by students who have not completed the form filling only,Frontend
"When select the form to send in dialog ""Send one time form"" the name of the form is not displayed (Field stay empty)",Frontend
When I try to export data of student in french version I can see that the SWAL export after I choose a type of file isn’t showing properly.,Frontend
The table did not directly query the data after opened,Frontend
"When I filter for awaiting contract/agreement on status colum, there no data populated inside the status column",Frontend
"Error in dropdown when i'm in french it's written ""create a tag"" it should be [FR] Créer un tag",Frontend
Card tag is not good when text is too long,Frontend
"The text in the field should be ""Select a tag"" by default in the add tag pop up",Frontend
List of tags didn't alphabetical order,Frontend
The icon inside the sweet alert for adding existing tag is not according,Frontend
"The option for ""All"" is on freeze inside the drop down of remove tag dialog",Frontend
User still cant input random country in special form,Frontend
Case for FS that already paid for term 1 >> When Automatic Debit triggered the status on Term 2 still have Blue dot Icon,Frontend
Improvement on UI for admission form + form from script engaged/registered,Frontend
"In step financial support, increaze size of text + amount ""Price of the studies: <amount>""",Frontend
"Lozalization: Checkbox text "" I authorize ..."" has incorrect FR on the form from script, use same text as existing in the admission FI form.",Frontend
"Update school contract preview + PDF with new fields of financial support -> Cost coverage, account holder name, IBAN, BIC, checkbox "" I authorize ...""",Frontend
SWAL error when fill post code with country filled in modality step on admission FI,Frontend
still can fill with free text on date of birth field on identity step in readmission fc,Frontend
Financement showing student name instead of organization name. can check from this student,Frontend
SEPA Payment Mode:  After Click pay button the SWAL bravo displayed but then the UI is spining more than 1 minutes,Frontend
Improvement: Update swal when asking for payment to show payer total & text instead of students,Frontend
Student Pay 0% and Financial Support 1 Pay 100% - When split billing for FS and Student I notice that splited billing is not in the correct ammount,Frontend
In the form filling step financement there is error graphql display,Frontend
Button information for payment is wrong,Frontend
Final step is not accepted after finish step DP for readmission FI,Frontend
Split billing for financement is not displayed in the finance follow up tabel and student card finance,Frontend
 there is an error in placing the box field for filling in 'financial support cost coverage amount',Frontend
Tooltip in the column student name [EN] and [FR] not accurate,Frontend
Form filling in modality step i cannot go to the next step because swal desole always appear,Frontend
there is no X button in the section student and section financial suport,Frontend
"After I set contact as Financial support, I did not see the financial support name in the Payment Information UI",Frontend
in FC partiel form filling - step modality payment the header isn't displayed,Frontend
When Operator Admin add FInancial Support for Student from Student card > Contact and click save button It throw swall error. Cannot continue the flow,Frontend
"In the Finace History, the term paid by Financial support the From name is still in student name, not Financial support name",Frontend
"The cost coverage amount cant receive my inputted before, and then error message appeared for me. Watch my  explanation to jira",Frontend
"As Financial support when I in the term payment UI, I see the total amount remaining is 0",Frontend
The cost coverage amount isnt changed to FR language,Frontend
after redirect to payment form (redirected from  on PAY_N2) i can see in list of Payment Method there is text acompte/deposit,Frontend
"i fill amount data use ',' or coma, and i click credit card, isee swal error",Frontend
the tooltip for FS in the transaction column for EUR does not match the EUR in the Credit column,Frontend
There is additional character in SWAL ASKING_PAYMENT_S1 when check on [FR],Frontend
Chargeback occur when the status of the Terms payment still in PENDING  There is two dot billed and pending on the colum term on student row,Frontend
Add new contact  Toogle to set financial supporter localization in FR is not what is on the checklist,Frontend
"There is delay for ""Price of the studies"" field, at first it display 0 but after user re access the form it will display the correct amount",Frontend
"I tried to fill the amout exceeding the total amount, but no error message appears",Frontend
The contact of student cant be saved if i filled out the form contacct,Frontend
"When I duplicate form builder there is not spinner, so I can click button save more than one",Frontend
"When I try to edit form builder step, save button is not active so I can't save the from that I edit",Frontend
there is no X button in the section student and section financial support,Frontend
click asking for payment and i see text [FR] different Sweet alert,Frontend
localization date column and time column,Frontend
no dropdown select No Modality Payment in payment information column,Frontend
Localization [FR] Prise en charge,Frontend
"After assign student to readmission,  I see there is duplicate student card",Frontend
the title of contact in the contact sub tab  [EN]User to contact in case of emergency [FR]Personne à contacter en cas d’urgence,Frontend
no swal display when assign program with financial situation red,Frontend
"I can't see field Nationality 1 , only see Nationality",Frontend
"Readmission - follow up : When i go to next page in table, the horizontal scroll become broken",Frontend
need to Remove column status on table readmission - Assignment,Frontend
Emergency contact telephone field stays red even when populated.,Frontend
So cannot validate to go to next step because the field stay considered as not filled up,Frontend
"Student have 2 status on 1 program, example: A19101 Mrs Melissandre AFONSO",Frontend
All the commentaries are gone on POC Example: A21616 Mme Rozenn ABEGG ,Frontend
"in the admission menu -> follow up fc submenu  select 1 student and transfer program, I see the validation and cancel buttons are irregular",Frontend
section of the form filling step identity  when my screen is divided into 2 then the screen display in step identity becomes irregular,Frontend
after transfer program and i check  on the finance tab  there is text 'no data to show' . should be there is no text 'no data to show',Frontend
 ,Frontend
"When I click on ""Validate"" button on Transfer pop up, there is no spinner displayed while waiting the process",Frontend
go to readmission-> follow up  type of formation : FI status : engaged dp : not paid  click transfer program and i cant see dropdown in the field school,Frontend
"In finance > follow up student, the payment method and financement support  is empty value, but in expected result the value is X",Frontend
The data between PDF registration form and student card identity isn't accurate,Frontend
"The downpayment value on financement is empty, even though if i read my checklist have expected result in the downpayment is X value",Frontend
"[READMISSION][FI TO FI]  date of birth in the Step Identity, contract sign and student card not acurate",Frontend
orm filling the step school contract there is no red text that is 'Please check this box which is valid for signing the school contract' on signature,Frontend
After transfer student and chekc on the student card tab Finance on the new program  The spinner spinning all time in the Finance status,Frontend
Admission form Financement Pop up for Add financement of student is wrong. now student can add the amount and accept the financement himself,Frontend
"when i validate step 7 and redirect last step (mercy), in the last step page automaticly reload",Frontend
"The tooltip of send email button should be ""send an email""",Frontend
data in step School Contract and My Identity not acurate,Frontend
"Admission form after Transfer On step Summary, I see the student Date of birth displayed as ""Invalid date""",Frontend
"Student card missing, no action button, not assigned to new program. Codefix 1: access student card for ""Postpone Registration"" status. Codefix 2: display button in Action column for ""Postpone Registration"" status.",Frontend
Create new user only with EDH domain email. Check current user data in EDH Platform to verify email domain.,Frontend
"The Type of Formation, Student Number, and Name columns in the Table Follow up don't freeze when scrolling left and right on the Readmission → Follow up sub-menu.",Frontend
"Add ""Hide"" and ""Expand"" buttons above the student/user/company card list. Clicking ""Hide"" will hide the list, and clicking ""Expand"" will display it again.",Frontend
"Issue with student M. Baptiste FOURSY's identity verification. Happens when clicking directly in email client, but not when clicking the notif in the mailbox on the platform.",Frontend
"Before validation, students can view the Grand Oral PDF result in the My File sub-menu Certification of the Student UI.",Frontend
Can't access Jobdesc_N10 link on mobile for incomplete Job Description before admission. - Student: M. Mamadou DIONE,Frontend
"Employability survey: make it possible after template is used , user still can edit the notification, Notif only",Frontend
All document expected uploaded from a task with doc expected from task manager should be displayed by school in the acad kit 07,Frontend
"After sending one-time ES in Active Student Table, the selected template is not displayed in Employability Survey Parameters.",Backend
Stop ESurvey_N1 notification as it no longer exists in the notification document.,Backend
Keys are not translated in student header/direction form filling.,Backend
"After clicking the ""Send to student"" button, the student is not displayed on the ES Result table.",Backend
Notification History for ESurvey_N3A has no title and school in the notification history.,Backend
"When filtering by RETAKE and INITIAL options, no data is displayed in the Final Transcript Result column, despite having one student set as Retake and many students in Initial status. Test Data: MA 2022.",Backend
"When sorting data on the status column, a GraphQL error is displayed. ",Backend
"When accessing the form through the notification, the user and user type ID of ADMTC Director are still present, causing the button to not be displayed when the student accesses it.",Backend
"After submitting the Employability Survey, it was sent to every student, even those who did not have a decision yet, and it was sent directly, despite the condition of 1 day after decision PASS",Backend
The student did not receive the task to complete the Continuous Employability Survey.,Backend
"The student receives multiple notifications of UserForm_N7 after completing the form, even though the validator has not yet validated the form.",Backend
"When the student tries to complete the revision, there is an error ""Cannot read property 'step_status' of undefined.""",Backend
The filter and sorting in the status column of the table is not working yet.,Backend
"When filtering the Employability Survey status column by ""Not Sent"" in the Step 2: Employability Survey Result for continuous Employability Survey, the number of students in the pagination is not correct. It is filtered, but on page 1, only 9 students are displayed when the maximum number of students on 1 page is 10.",Backend
"When filtering the Employability Survey status column by ""Not Sent"" in the Step 2: Employability Survey Result for one-time Employability Survey , the table is not filtered, and it shows no data.",Backend
"To validate the final step, the notification from the form builder will not be used, and the old flow using the cronjob will be followed. Please note that the user needs to set up the validation type as final validation. If the validation type is step validation, the notification from each step/UserForm_N5 will be used.",Backend
"If the user sets a custom notification in the form builder, please use that notification. If not, use the default notification.",Backend
"When validating the form, there should be no default notification. If the user decides to add a notification in the step, then it will be sent. If not, there is no need to send the default notification.",Backend
"In the Step 1: Employability Survey Parameter for Continuous Employability Survey , there is no radio button for Relative Date and Exact Date. A workaround is to use the 'Save' button instead. ",Backend
"When clicking the ""Send to Student"" button for the ES in MA 2022 ROCKET, the status remains not published. ",Backend
"When the user clicks on the Reminder button, it currently sends ESurvey_N4. The expectation is to:
1. Send ESNFStudRemind_N1 if there is no ""Reminder"" notification from the form builder.
2. Send the notification reminder for the step that the student needs to do if there is a notification ""Reminder"" set in the form builder.",Backend
The task is not marked as done even though the student has completed the form for Employability Survey,Backend
"When the validator rejects the ES, it still sends UserForm_N1. It should send ESurvey_N6 for Employability Survey.",Backend
"Despite rejecting the Employability Survey , the status in the Employability Survey Result table still displays as completed by the student.",Backend
The keys are not populated in the Step Summary on the Footer and Final Message to form.,Backend
"There is an error when exporting Employability Survey Result from the backend that says ""Cannot read properties of undefined (reading 'student_responses').""",Backend
The task for revision is not displayed for the student because there is no due date.,Backend
"There is a GraphQL error when trying to reject the ES of the student, which says ""updatedFormProcess is not defined.""",Backend
"When the form template has a custom notification, it still sends ESurvey_N6 instead of taking the custom notification.",Backend
"The ES Name field in Step 1 of ES Parameter can still be filled with an existing name, causing an issue with the task for revision.",Backend
"The task table for ""Validate Employability Survey"" does not have a due date.",Backend
"When the user selects the option to complete the form, it is not marked as done.",Backend
"Clicking on the ESurvey_N5 notification redirects to the form, but the user ID still uses the student ID instead of the final validator ID.",Backend
"After the student completes the first Employability Survey  and the date for sending the second Employability Survey has passed, the second ES is not sent to the student.",Backend
"The List of Employability Survey table cannot filter on the selected column template, as the dropdown list still takes from the list of questionnaire tools.",Backend
"The user's position under signatory is displayed as ""null"" when the position field is not filled, but it should be left empty for the ESNFStudRemind_N1 notification reminder.",Backend
The ESNFStudRemind_N1 notification reminder should redirect directly to the Employability Survey form instead of the student UI.,Backend
"If user uses key Step Title with apostrophe, display as is on notification.",Backend
"Key {{form_template_name}} not populating form template name, only step title.",Backend
"Add keys for Civ Academic director, Academic director first name, and Academic director last name.",Backend
"For Employability Survey templates, skip validation for Final Step. When student completes step until Final Message, ES status is automatically validated and task is marked as Done.",Backend
Add answer type Continous study to form builder,Backend
"Key for URL in custom notification not in FR. Change to ""Cliquer ici""",Backend
The Employability survey name is not unique for Continuous ES. A new ES template can be created with the same name as an existing one in the List of ES table,Backend
"As an ADMTC Admin, multiple Employability Survey with the same title and class can be created for type Continuous",Backend
The notification content in EN is different from the notification document for Reminder 10 days.,Backend
"Users can click ""Sent to Student"" multiple times in Continuous Employability Survey and they will get multiple tasks and notifications for the same Employability Survey process.",Backend
"When an ES Template is already published and sent to students, the form template used in the ES Template cannot be unpublished on the form builder. An error will be returned when the mutation to unpublish is called but the template is used for a published form",Backend
"When a user duplicates a form template in the form builder, the notification and message are not duplicated in the duplicated template",Backend
Survey Name and Template Name columns cannot be searched without accent and typing a slice (/) in the Survey Name column deletes the data in the search field,Backend
"After rejecting the step as a validator, the Employability Survey status and Employability Survey status card show ""Completed by Student"" instead of ""Rejected by Validator""",Backend
"In One Time Employability Survey , students receive the Employability Survey when the send date is still in the future
",Backend
"In One Time Employability Survey , students receive the ES, but in Employability Survey Parameter student table, said student still can be excluded. If a student already received Employability Survey, they cannot be excluded anymore",Backend
"In One Time Employability Survey , when a user clicks toggle include in Step 1: Employability Survey Parameter's student table, the sorting is removed and included students are moved to the upper row of the student table",Backend
"In One Time Employability Survey, a filter for the Included column can be added with options such as ""All,"" ""Sent to student,"" ""Included,"" and ""Excluded."" Sorting options can also be added for ""Included,"" ""Not Included,"" and ""Sent to Student""",Backend
"In the create Employability Survey pop-up, the RNCP Title field should only show RNCP Titles that have students in the dropdown",Backend
"In One Time Employability Survey , only student data that is included in Step 1 Employability Survey parameter should be displayed in the Step 2 ES result table",Backend
The Notification ESurvery_N3A needs to be updated to follow a different notif doc. The update should ensure that the RNCP Title field only shows RNCP Titles that have students in the dropdown,Backend
"ADMTC Admin can reject the final step in a form even though the validator is Academic Director
",Backend
"The Employability Survey table's Status column does not have the option ""Not sent,"" and it needs to be included in the status filter",Backend
"To sort the Final Transcript Status column in the student table, the correct order should be:
- Ascending: Eliminated > Failed > Initial > Passed > Re-take
- Descending: Re-take > Passed > Initial > Failed > Eliminated",Backend
"The sorting data for the Status, Final Transcript, and Included Result columns is not working properly. The issue may be due to leading spaces or mixed data, and filters may need to be removed and sorting corrected
",Backend
"The Employability Survey status is not displayed for students with a suspended status in the student card or school student card. The status column is blank, and the issue may be due to the student's suspension status",Backend
"The sorting for the Status column in the Employability Survey table's Include column is not working correctly. The issue may be due to leading spaces or mixed data, and filters may need to be removed and sorting corrected",Backend
The sorting for the Template Selected column in the Employability Survey table is not working properly. ,Backend
"In One Time Employability Survey, students did not receive the ESurvey_N3A notification even though it appeared in the notification history. The issue may be due to the future send date or a manual trigger, and the notification preferences and concluded enrollments should be checked.",Backend
One time Employability Survey & Continuous as validator I did not received notification and task to validate the Employability Survey (per step and in final step),Backend
"When using One Time Employability Survey , if the validator rejects a step, the task for completing the ES may be counted as completed for the student, even though it should still be pending.",Backend
"When using Continuous, after setting the parameter and clicking on send Employability Survey  (asking BE to trigger manually), the ES may not be sent after some time, blocking testers from testing. ",Backend
"The status for Employability Survey  2 and Employability Survey 3 is not updated in Step 2 of the Employability Survey table, even though the student received the notification in their mailbox.",Backend
The arrangement of the Employability Survey Result table is not correct. ,Backend
"As a validator, notifications for validating steps in the Employability Survey are not visible in the mailbox, and the search bar in the description column of the Task Table is not working.",Backend
"To change the Export Sweet Alert in Step 2 of the Employability Survey Result table to export the file as CSV and send it to the user via email, relevant modules should be checked and the CSV file format should be configured. T",Backend
"The subject for DEROGATION_N1 is ""derogation_dispense S-CCAPF - 2023 TMK - TMK"". No specific reference was found to address this issue",Backend
The form inside DEROGATION_N1 does not contain userId and userTypeId.,Backend
"UserForm_N6 was sent to the certifier admin to validate the derogation/dispense form, but the text inside is about ""Dossier qualité"". ",Backend
"After asking for revision, a SWAL error is displayed. ",Backend
"When validating the Ask a form derogation/dispense, the line is displayed but the reference is not.",Backend
"The footer of Notification DEROGATION_N1 only displays <CertifierAdminCivility> for <CertifierAdminFirstName> <CertifierAdminLastName>, and the latter is not shown. ",Backend
"In the dynamic text of the email body, <School> is not displayed and instead ""-MA - 4 BLOCS - 2023 PIGIER -"" is shown. ",Backend
"To change the notification <to form> in Derogation_N1 from being displayed to ""Cliquez ici"", formatting changes need to be made. ",Backend
Task : Derogation/Dispense Form to Revision : <Reference> Reference is not displayed and also the from is from M.ADMTC. should be certifier admin,Backend
"The column ""from"" on the menu task ""My Task"" is empty and should be populated with certifier admin.",Backend
"To revise the derogation/dispense form, Academic Director updated the step document expected by uploading a new document and clicked save. However, the button for completing the revision disappeared from the step summary (step that needs to be validated). The task for Academic Director still needs to be done, and there are no tasks or notifications for the certifier admin.",Backend
"After the certifier admin validates the form, the button for the PDF document is not displayed in the table of derogation/dispense.",Backend
"The filter and sorting of the ""status"" column in the derogation/dispense table is not functioning properly.",Backend
"After academic director revises the form and the Certifier Admin validates it, the column description in the menu task > my task displays ""Derogation/Dispense Form to Final Validate: <Reference>"" instead of ""Derogation/Dispense Form to Validate: <Reference>",Backend
The reference filter in the derogation submenu does not allow free typing and the table does not populate with what is typed in the filter.,Backend
"On the form filling, there are ""title_short"" and ""title_long"" fields, but they are displayed as ""{{title_short}} : {{title_long}}"". ",Backend
"On the email notification DEROGATION_N1, the dynamic text of <Form name> is not being populated.",Backend
"As Certifier Admin, after doing rejection for the form, there is no notification sent to the recipient",Backend
"After doing rejection for the form, there is still a folder for the derogation form in ACADKIT. The folder for derogation forms that have been rejected should not exist. ",Backend
"After rejecting the derogation/dispense form, the task of derogation/dispense is still ""to do"" for the Certifier Admin. The task for derogation/dispense after the form gets rejected should be marked as ""done"" (Note: For this case, only the rejected form's status will be ""done"").",Backend
"When clicking on PDF SummaryD-00002 in ACAD Kit, the displayed PDF summary does not match the form filling for Derogation/Dispense. ",Backend
The value of the key ${URL} in the notification does not match their environment,Backend
The value of the key ${URL} in the notification does not match their environment and there is no encapsulation,Backend
The key ${legalEntityIBANBICForTransferMethod} is not present on the notification table key description for FORM_N2.,Backend
"After changing the status from ""register"" to ""postpone register"" on studentCard_N1, some keys (K004) such as StudentCivility, StudentFirstName, StudentLastName, StudentSchool, StudentSector, StudentSpecialty, and StudentLevel are not being populated in the notification for studentCard_N1. All keys (K005) on studentCard_N1 need to be removed.",Backend
All keys on K005 in the notification for ALUMNI_N1 are not recorded in the table,Backend
"After sending a reminder for a one-time form, the notification for OneTimeForm_N3 can be obtained. ",Backend
"When trying to sign the contract, the user is redirected to the home page instead of the DocuSign page. ",Backend
key userWhoRecieveUsertype not populate any data,Backend
for notification FORM_N3 key URL doesnt recorded in the table,Backend
I can not get notif intercont_n2 after complete step summary,Backend
"when click button sign contract in step signing, I get swal error",Backend
"key userWhoRecieveUsertype not populate in notif UserForm_N1,UserForm_N2,UserForm_N3 and UserForm_N5",Backend
Notification RegUser_N1 doesnt have key for K001 and K002,Backend
Notification EXPORT_N1 the key userWhoRecieveUsertype doesnt populate properly,Backend
"After creating a new user, the notification RegUser_N1 is not sent.",Backend
"Key signeeCivility,signeeFirstName and signeeLastName not populated",Backend
"I see text undefined in notification PAY_N3, PAY_N6 and  PAY_N1 , even i'm not set any key or text for that notification",Backend
There is several issue after Notification TRANSFER_N1 and TRANSFER_N3 got received,Backend
Notification TRANSFER_N4 for key ${body} is not populated,Backend
The user is unable to receive the notification for Contract_Conven_N1.,Backend
The key 005 is not visible in the table for the notification StudentCard_N1.,Backend
The environment is very slow when accessing the all menu.,Backend
Notification FORM_N4 display key K003 in the table. should be there is no key K003 in the FORM_N4,Backend
Notification Reg_N8 in the CkEditor display key ${studentCampusName},Backend
"Notification StudentCard_N1 there is key ${candidateFirstName} , ${candidateLastName} , ${schoolName}, ${campusName}, ${sectorName}, ${specialityName}, ${candidateSchoolLogo}, ${devFirstName}, ${devLastName},${devEmail}, ${devPhone}, ${candidateSchool}, ${candidateCampus}, ${candidateSector}, ${candidateSpecialty} in the table. the table should only show K003 and K004",Backend
The key ${userWhoRecieveUsertype} is not populating in the notification for FC_UserForm_N5. ,Backend
The keys ${userWhoRecieveUsertype} and ${userWhoSendUsertype} are not populating in the notification for FC_UserForm_N2.,Backend
The key ${userWhoRecieveUsertype} is not populating in the notification for FC_UserForm_N3.,Backend
"For notifications FORM_N1 and FORM_N2, the key URL will redirect to an HTTP notification instead of pointing to the form.",Backend
The key ${URL} in the notification for ALUMNI_N1 has an undefined userTypeId value.,Backend
"The keys ${teacherCivility}, ${teacherFirstName}, and ${teacherLastName} in the notification for InterCont_N1 are populated with current user data instead of teacher data.",Backend
"After creating a new user, some keys are not properly populated in the notification RegUser_N1.",Backend
The key ${body} is still not properly populated in the table key for Notification Management. ,Backend
The key K005 is not properly populated in the notifications TRANSFER_N1 and TRANSFER_N2.,Backend
The descriptions for key ${delimiterType} in both EN and FR are inaccurate and still display the default key in the notifications IMPORT_COMP_N2 and IMPORT_N2.,Backend
"The keys ${userWhoRecieveUsertype} and ${userWhoRecievePosition} are not properly populated in the notifications IMPORT_COMP_N1, IMPORT_COMP_N2, and IMPORT_N2.",Backend
The key ${userWhoSendUsertype} is not properly populated in the notification IMPORT_N2. ,Backend
The user is unable to receive the notification for UserForm_N4. ,Backend
The description for key ${askForRevisionReason} in localization FR is empty for ADM_DOC_N2. ,Backend
The key ${salulation} in the notification RegUser_N1 displays incorrect text and should be changed to ${salutation}. ,Backend
There is no description in the key URL for notifications FC_UserForm_N2 and FC_UserForm_N3 in Notification Management. ,Backend
The key ${userWhoRecieveUsertype} is not properly populated in the notification InterCont_N4.,Backend
"The keys ${contractManagerEmail}, ${contractManagerCivility}, ${contractManagerFirstName}, ${contractManagerLastName}, and ${contractManagerPosition} are not properly populated in the notification InterCont_N2. ",Backend
The key ${userWhoRecieveUsertype} is not properly populated in the notification OneTimeForm_N2A.,Backend
"In the notification TRANSCRIPT_N2B, the To column in the Student Card is filled with the academic director name instead of the Student name.",Backend
"The task is not sent when it has been submitted, and there is no task in the RNCP title and student card. ",Backend
"After ADMTC Director removes CV and passport in the Acad Kit, there is a SWAL error displayed.",Backend
"In the notification TRANSCRIPT_N2B, the value in the From field is coming from ADMTC Platform instead of Certifier Admin. ",Backend
There is added text in the notification TRANSCRIPT_N2B that does not comply with the notification document,Backend
"The file for student M. CHAUVIN Thibaut is not displaying in the academic kit, but it appears after changing the decision and retaking the grand oral.",Backend
There is no Assign Grand Oral Corrector and mark entry for retake grand oral in the dropdown description column for the task. ,Backend
[Block Competency button][comptency button] button +criteria evaluation inactive,Backend
"When saving a specialization with the same name but a different class, a Swal warning is displayed.",Backend
"The specialization can still be removed even after being connected to school, and this is related to the S-RM2C class ENC NANTES 2023.",Backend
"When trying to connect a specialization that has the same name but is in a different class, a Swal error is displayed even though the RNCP title is already connected.",Backend
The mentor did not receive a Jobdesc_N2 notification in their mailbox.,Backend
The PDF document display is cut between pages when using the PDF button in the Job Description.,Backend
The student is unable to download the PDF job description because the student UI only displays a spinner.,Backend
"The student completed the task job description, but it is still pending.",Backend
"As an academic director, I noticed that the HH:MM (time of upload) was not displayed in the Jobdesc_N4 notification, and the Mentor flow was disabled.",Backend
"When the Mentor Flow is enabled, the task ""Complete Job Description"" remains in the pending task table even after the student has completed it. However, if the Mentor Flow is disabled, the student's task will be moved to completed.",Backend
"When the Mentor Flow is enabled, the task ""Validate Job Description"" is not created for both the Mentor and the Academic Director, even after the student has completed the job description. However, if the Mentor Flow is disabled, the task ""Validate Job Description"" is created for the Academic Director.",Backend
"student Mrs. Lamia ADJAL is exempted from bloc 1 & 2, but they are still included in the form filling of the job description.",Backend
"The student selected the IoT specialization, but the form filling for the job description displays the Cloud Computing specialization.",Backend
"missing deposit task due TODAY Friday 17 March.
Please create this morning the deposit tasks for the AGENCY RECOMMENDATION test (Block 3 - CPEB 2023)",Backend
"1/ Student kim sitbon displays 6 tasks admission form  that need to be validated (Title: CPEB; class: CPEB 2023)
2/ for validating the student admission form Mara CAMARA when clicked it redirects to the final step (Title: CPEB; class: CPEB 2023)

check as certifier admin Mme Caroline SABATE",Backend
"Creation of task deposit doc expected for ""Agency Recommendation"" block 3 of CPEB 2023 for Yeouda GUEDJ Please create the task doc deposit expected for ""Agency recommendation"" block3 of CPEB 2023 for Yeouda GUEDJ",Backend
"Employability Survey - Reminder + phoning
RM2C CLASSE 2022 // EE 2 à 6 mois 
Prio 1 // Reminder notifications + phoning surveys
1. The same form was used on classes 2022, BBIM 22, BRDV 22, ISMAC 22 for the EE 2 at 6 months. 
The first notification went out correctly on all classes. However, the dunning notifications were sent correctly on BBIM 22, BRDV 22, and ISMAC 22 classes but not on CLASS 22.
2. The phoning notification was not sent on any of the classes",Backend
STUD_N4 should not be sent to deactivated user,Backend
